Gene Mut Mean_score Value Simulations Pval Qval
ENSG00000256628 1 1.841402 13 100 0.13 1
ENSG00000256642 1 0.327785 13 100 0.13 1
ENSG00000257285 1 0.506807666666667 13 100 0.13 1
ENSG00000259180 1 2.16836166666667 13 100 0.13 1
ENSG00000260509 1 0.306339 13 100 0.13 1
ENSG00000261061 1 0.00849433333333333 13 100 0.13 1
ENSG00000261250 1 0.456500666666667 13 100 0.13 1
ENSG00000261437 1 0.564272 13 100 0.13 1
ENSG00000262231 1 0.0624753333333333 143 1100 0.13 1
ENSG00000267356 1 0.258484 13 100 0.13 1
ENSG00000272008 1 0.876803333333333 13 100 0.13 1
ENSG00000225127 1 0.473089333333333 146 1100 0.132727272727273 1
ENSG00000215196 1 0.702905666666667 149 1100 0.135454545454545 1
ENSG00000272078 5 2.07967346666667 150 1100 0.136363636363636 1
ENSG00000261670 1 0.372712 152 1100 0.138181818181818 1
ENSG00000172965 1 -0.0357116666666667 153 1100 0.139090909090909 1
ENSG00000231422 1 0.188712333333333 153 1100 0.139090909090909 1
ENSG00000204241 2 0.589184666666667 14 100 0.14 1
ENSG00000206062 1 0.2931 14 100 0.14 1
ENSG00000225942 1 -0.012778 14 100 0.14 1
ENSG00000226447 1 0.452242333333333 14 100 0.14 1
ENSG00000227274 1 0.282888333333333 14 100 0.14 1
ENSG00000227757 1 0.211806 14 100 0.14 1
ENSG00000228214 1 1.91113566666667 14 100 0.14 1
ENSG00000229180 2 0.171918166666667 14 100 0.14 1
ENSG00000230091 1 0.167331 14 100 0.14 1
ENSG00000231681 1 0.605106333333333 14 100 0.14 1
ENSG00000233718 1 1.78013433333333 14 100 0.14 1
ENSG00000244791 1 0.530841333333333 14 100 0.14 1
ENSG00000251611 1 0.68725 14 100 0.14 1
ENSG00000254300 1 1.532955 14 100 0.14 1
ENSG00000255020 1 0.534657666666667 14 100 0.14 1
ENSG00000256226 1 0.351836 14 100 0.14 1
ENSG00000256560 1 1.699478 14 100 0.14 1
ENSG00000263612 1 0.257343666666667 14 100 0.14 1
ENSG00000267586 1 0.349942333333333 14 100 0.14 1
ENSG00000270145 1 1.65913966666667 14 100 0.14 1
ENSG00000270574 1 7.306352 14 100 0.14 1
ENSG00000272888 1 1.14773766666667 14 100 0.14 1
ENSG00000273189 1 2.438081 14 100 0.14 1
ENSG00000258525 1 4.970417 162 1100 0.147272727272727 1
ENSG00000270137 2 0.182219333333333 163 1100 0.148181818181818 1
ENSG00000203650 1 0.504781 15 100 0.15 1
ENSG00000215458 1 0.229745666666667 15 100 0.15 1
ENSG00000224822 1 0.592816333333333 15 100 0.15 1
ENSG00000233099 1 0.259915666666667 15 100 0.15 1
ENSG00000233639 2 1.282444 15 100 0.15 1
ENSG00000234311 1 0.113016666666667 15 100 0.15 1
ENSG00000235785 1 1.42972666666667 15 100 0.15 1
ENSG00000237588 2 0.581624833333333 15 100 0.15 1
ENSG00000243155 2 1.33936183333333 15 100 0.15 1
ENSG00000248492 1 2.32052033333333 15 100 0.15 1
ENSG00000249066 1 0.75862 15 100 0.15 1
ENSG00000256258 1 0.415035666666667 15 100 0.15 1
ENSG00000257097 1 0.136525666666667 15 100 0.15 1
ENSG00000257612 1 1.120983 15 100 0.15 1
ENSG00000258135 2 0.202767833333333 15 100 0.15 1
ENSG00000259541 1 0.687307666666667 15 100 0.15 1
ENSG00000259954 1 0.355505333333333 15 100 0.15 1
ENSG00000261054 1 3.29841966666667 15 100 0.15 1
ENSG00000267506 1 0.189203666666667 15 100 0.15 1
ENSG00000232170 1 0.467085 172 1100 0.156363636363636 1
ENSG00000204583 1 0.404460666666667 16 100 0.16 1
ENSG00000223751 1 0.928768 16 100 0.16 1
ENSG00000225470 1 0.388431 16 100 0.16 1
ENSG00000229688 1 1.18396933333333 16 100 0.16 1
ENSG00000231194 1 3.10649466666667 16 100 0.16 1
ENSG00000231889 1 0.595868 16 100 0.16 1
ENSG00000235026 1 0.302809333333333 16 100 0.16 1
ENSG00000237596 1 1.10552766666667 16 100 0.16 1
ENSG00000237945 2 0.392912166666667 16 100 0.16 1
ENSG00000248771 1 0.694794666666667 16 100 0.16 1
ENSG00000249592 1 0.207981666666667 16 100 0.16 1
ENSG00000251652 1 0.633360666666667 16 100 0.16 1
ENSG00000253222 1 1.32013766666667 16 100 0.16 1
ENSG00000253376 1 0.0297116666666667 16 100 0.16 1
ENSG00000253471 1 1.120473 16 100 0.16 1
ENSG00000257925 1 0.236564666666667 16 100 0.16 1
ENSG00000260398 3 0.0933114444444444 16 100 0.16 1
ENSG00000260611 1 0.5112 16 100 0.16 1
ENSG00000261087 1 0.229999666666667 16 100 0.16 1
ENSG00000261453 1 1.22722366666667 16 100 0.16 1
ENSG00000265413 1 -0.0974506666666667 16 100 0.16 1
ENSG00000267263 1 0.314087666666667 16 100 0.16 1
ENSG00000250754 1 1.36061333333333 185 1100 0.168181818181818 1
ENSG00000225612 1 0.132022 17 100 0.17 1
ENSG00000228215 1 0.195683333333333 17 100 0.17 1
ENSG00000228566 2 0.4986275 17 100 0.17 1
ENSG00000231674 1 0.331549333333333 17 100 0.17 1
ENSG00000232160 2 0.284374166666667 17 100 0.17 1
ENSG00000232271 1 0.227027333333333 17 100 0.17 1
ENSG00000233293 1 1.61229233333333 17 100 0.17 1
ENSG00000236242 1 0.214046666666667 17 100 0.17 1
ENSG00000238129 1 0.0719633333333333 17 100 0.17 1
ENSG00000240032 1 0.361109666666667 17 100 0.17 1
ENSG00000246130 1 0.120675 17 100 0.17 1
ENSG00000248872 1 0.0347283333333333 17 100 0.17 1
ENSG00000249290 1 0.394902 17 100 0.17 1
ENSG00000250131 1 0.668119 17 100 0.17 1
ENSG00000253632 1 0.68405 17 100 0.17 1
ENSG00000259881 1 0.0897716666666667 17 100 0.17 1
ENSG00000260695 2 0.578150166666667 17 100 0.17 1
ENSG00000261211 1 0.211496666666667 17 100 0.17 1
ENSG00000263443 1 -0.0342366666666667 17 100 0.17 1
ENSG00000264469 2 0.3961445 17 100 0.17 1
ENSG00000265055 1 0.322728666666667 17 100 0.17 1
ENSG00000270112 1 5.26695566666667 17 100 0.17 1
ENSG00000271167 1 1.57572266666667 17 100 0.17 1
ENSG00000227060 1 0.733854666666667 190 1100 0.172727272727273 1
ENSG00000235023 1 0.01921 191 1100 0.173636363636364 1
ENSG00000219159 2 -0.0700093333333333 18 100 0.18 1
ENSG00000223764 1 0.17704 18 100 0.18 1
ENSG00000224371 2 0.279004 18 100 0.18 1
ENSG00000227244 1 0.315918 18 100 0.18 1
ENSG00000229981 1 0.164237 18 100 0.18 1
ENSG00000232324 1 0.310183666666667 18 100 0.18 1
ENSG00000234089 2 0.201511333333333 18 100 0.18 1
ENSG00000236340 1 0.724611 18 100 0.18 1
ENSG00000236451 2 0.472582 18 100 0.18 1
ENSG00000237212 1 0.0951003333333333 18 100 0.18 1
ENSG00000237976 1 2.37457366666667 18 100 0.18 1
ENSG00000238186 1 0.476765333333333 18 100 0.18 1
ENSG00000242396 1 2.427315 18 100 0.18 1
ENSG00000248197 1 0.447580666666667 18 100 0.18 1
ENSG00000248461 3 0.446209222222222 18 100 0.18 1
ENSG00000249307 1 0.489292666666667 18 100 0.18 1
ENSG00000251417 1 0.109393333333333 18 100 0.18 1
ENSG00000256571 1 0.162402333333333 18 100 0.18 1
ENSG00000260855 1 0.233526 18 100 0.18 1
ENSG00000267532 1 1.52279466666667 18 100 0.18 1
ENSG00000272610 1 0.137259333333333 18 100 0.18 1
ENSG00000157152 2 1.20617 19 100 0.19 1
ENSG00000179141 2 0.0629836666666667 19 100 0.19 1
ENSG00000204054 2 0.0701111666666667 19 100 0.19 1
ENSG00000224660 2 1.86557233333333 19 100 0.19 1
ENSG00000228315 1 0.346425333333333 19 100 0.19 1
ENSG00000232633 2 1.322312 19 100 0.19 1
ENSG00000234177 1 0.187785666666667 19 100 0.19 1
ENSG00000234531 1 0.407265 19 100 0.19 1
ENSG00000235593 1 0.237976666666667 19 100 0.19 1
ENSG00000237638 1 0.150969666666667 19 100 0.19 1
ENSG00000247081 1 0.244704 19 100 0.19 1
ENSG00000248150 1 0.185935666666667 19 100 0.19 1
ENSG00000250125 1 0.111968 19 100 0.19 1
ENSG00000250448 1 0.297422333333333 19 100 0.19 1
ENSG00000253802 1 0.272483333333333 19 100 0.19 1
ENSG00000254561 1 0.294866666666667 19 100 0.19 1
ENSG00000254659 1 0.326815333333333 19 100 0.19 1
ENSG00000256417 1 0.298902 19 100 0.19 1
ENSG00000262884 1 0.437157333333333 19 100 0.19 1
ENSG00000225138 1 0.442624333333333 213 1100 0.193636363636364 1
ENSG00000225128 1 0.30011 20 100 0.2 1
ENSG00000230894 2 0.414242333333333 20 100 0.2 1
