Gene Exonic_mutations Pval Qval
ENSG00000233258.1 1 0.035 0.35086186540732
ENSG00000233262.1 1 0.035 0.35086186540732
ENSG00000233293.1 1 0.035 0.35086186540732
ENSG00000239569.2 2 0.035 0.35086186540732
ENSG00000248677.1 2 0.035 0.35086186540732
ENSG00000249593.2 2 0.035 0.35086186540732
ENSG00000250635.1 1 0.035 0.35086186540732
ENSG00000253282.1 1 0.035 0.35086186540732
ENSG00000253414.2 1 0.035 0.35086186540732
ENSG00000254774.1 1 0.035 0.35086186540732
ENSG00000256947.1 1 0.035 0.35086186540732
ENSG00000258576.1 1 0.035 0.35086186540732
ENSG00000259203.1 1 0.035 0.35086186540732
ENSG00000261374.1 1 0.035 0.35086186540732
ENSG00000261553.1 3 0.035 0.35086186540732
ENSG00000261644.1 2 0.035 0.35086186540732
ENSG00000262999.1 2 0.035 0.35086186540732
ENSG00000263276.1 2 0.035 0.35086186540732
ENSG00000264469.1 2 0.035 0.35086186540732
ENSG00000268525.1 1 0.035 0.35086186540732
ENSG00000271871.1 1 0.035 0.35086186540732
ENSG00000273149.1 1 0.035 0.35086186540732
ENSG00000267356.1 1 0.0393137254901961 0.35086186540732
ENSG00000184991.2 1 0.04 0.35086186540732
ENSG00000206552.4 2 0.04 0.35086186540732
ENSG00000225077.2 2 0.04 0.35086186540732
ENSG00000227911.3 1 0.04 0.35086186540732
ENSG00000228873.1 1 0.04 0.35086186540732
ENSG00000231465.2 1 0.04 0.35086186540732
ENSG00000232283.1 2 0.04 0.35086186540732
ENSG00000234625.1 1 0.04 0.35086186540732
ENSG00000236434.2 1 0.04 0.35086186540732
ENSG00000236525.1 2 0.04 0.35086186540732
ENSG00000237208.1 2 0.04 0.35086186540732
ENSG00000243197.3 3 0.04 0.35086186540732
ENSG00000243572.1 1 0.04 0.35086186540732
ENSG00000245667.2 1 0.04 0.35086186540732
ENSG00000250328.1 2 0.04 0.35086186540732
ENSG00000250948.1 1 0.04 0.35086186540732
ENSG00000251628.1 1 0.04 0.35086186540732
ENSG00000253471.1 1 0.04 0.35086186540732
ENSG00000254651.1 1 0.04 0.35086186540732
ENSG00000255857.1 2 0.04 0.35086186540732
ENSG00000256152.2 1 0.04 0.35086186540732
ENSG00000257526.1 1 0.04 0.35086186540732
ENSG00000258998.1 3 0.04 0.35086186540732
ENSG00000259976.1 2 0.04 0.35086186540732
ENSG00000260958.2 2 0.04 0.35086186540732
ENSG00000261183.1 2 0.04 0.35086186540732
ENSG00000261470.1 1 0.04 0.35086186540732
ENSG00000262152.2 2 0.04 0.35086186540732
ENSG00000262231.1 1 0.04 0.35086186540732
ENSG00000262898.1 1 0.04 0.35086186540732
ENSG00000265728.1 1 0.04 0.35086186540732
ENSG00000266278.1 2 0.04 0.35086186540732
ENSG00000268816.1 1 0.04 0.35086186540732
ENSG00000269085.1 1 0.04 0.35086186540732
ENSG00000270097.1 1 0.04 0.35086186540732
ENSG00000272769.1 1 0.04 0.35086186540732
ENSG00000272990.1 1 0.04 0.35086186540732
ENSG00000273203.1 3 0.04 0.35086186540732
ENSG00000272294.1 2 0.0426470588235294 0.35086186540732
ENSG00000215808.2 1 0.045 0.35086186540732
ENSG00000223817.1 1 0.045 0.35086186540732
ENSG00000227803.2 1 0.045 0.35086186540732
ENSG00000229348.1 1 0.045 0.35086186540732
ENSG00000230184.1 1 0.045 0.35086186540732
ENSG00000232080.3 1 0.045 0.35086186540732
ENSG00000233099.1 1 0.045 0.35086186540732
ENSG00000234149.1 1 0.045 0.35086186540732
ENSG00000234584.1 1 0.045 0.35086186540732
ENSG00000236948.1 1 0.045 0.35086186540732
ENSG00000237035.1 1 0.045 0.35086186540732
ENSG00000237937.1 1 0.045 0.35086186540732
ENSG00000243479.3 1 0.045 0.35086186540732
ENSG00000249405.1 1 0.045 0.35086186540732
ENSG00000251128.1 1 0.045 0.35086186540732
ENSG00000251250.1 1 0.045 0.35086186540732
ENSG00000251526.1 1 0.045 0.35086186540732
ENSG00000255382.1 1 0.045 0.35086186540732
ENSG00000257769.1 1 0.045 0.35086186540732
ENSG00000257925.1 1 0.045 0.35086186540732
ENSG00000270640.1 1 0.045 0.35086186540732
ENSG00000272597.1 1 0.045 0.35086186540732
ENSG00000273396.1 1 0.045 0.35086186540732
ENSG00000219926.6 4 0.05 0.35086186540732
ENSG00000223701.3 1 0.05 0.35086186540732
ENSG00000225675.2 1 0.05 0.35086186540732
ENSG00000225979.1 1 0.05 0.35086186540732
ENSG00000227945.1 1 0.05 0.35086186540732
ENSG00000228382.1 1 0.05 0.35086186540732
ENSG00000230393.1 1 0.05 0.35086186540732
ENSG00000233930.3 1 0.05 0.35086186540732
ENSG00000234553.1 1 0.05 0.35086186540732
ENSG00000234661.2 2 0.05 0.35086186540732
ENSG00000237341.1 1 0.05 0.35086186540732
ENSG00000237738.1 1 0.05 0.35086186540732
ENSG00000237760.1 1 0.05 0.35086186540732
ENSG00000249790.2 2 0.05 0.35086186540732
ENSG00000250174.1 1 0.05 0.35086186540732
ENSG00000251450.1 1 0.05 0.35086186540732
ENSG00000251611.1 1 0.05 0.35086186540732
ENSG00000255411.1 1 0.05 0.35086186540732
ENSG00000258553.1 1 0.05 0.35086186540732
ENSG00000259180.1 1 0.05 0.35086186540732
ENSG00000259524.1 1 0.05 0.35086186540732
ENSG00000259788.1 1 0.05 0.35086186540732
ENSG00000260515.1 2 0.05 0.35086186540732
ENSG00000261320.1 1 0.05 0.35086186540732
ENSG00000261664.1 1 0.05 0.35086186540732
ENSG00000270171.1 1 0.05 0.35086186540732
ENSG00000272549.1 3 0.05 0.35086186540732
